min,Intensity
1.29166667,-370.000000
1.30000000,-368.000000
1.30833333,-369.000000
1.31666667,-369.000000
1.32500000,-369.000000
1.33333333,-370.000000
1.34166667,-369.000000
1.35000000,-369.000000
1.35833333,-369.000000
1.36666667,-370.000000
1.37500000,-370.000000
1.38333333,-370.000000
1.39166667,-371.000000
1.40000000,-369.000000
1.40833333,-370.000000
1.41666667,-370.000000
1.42500000,-369.000000
1.43333333,-370.000000
1.44166667,-370.000000
1.45000000,-361.000000
1.45833333,-360.000000
1.46666667,-368.000000
1.47500000,-370.000000
1.48333333,-369.000000
1.49166667,-370.000000
1.50000000,-376.000000
1.50833333,-377.000000
1.51666667,-377.000000
1.52500000,-377.000000
1.53333333,-377.000000
1.54166667,-370.000000
1.55000000,-368.000000
1.55833333,-370.000000
1.56666667,-377.000000
1.57500000,-377.000000
1.58333333,-377.000000
1.59166667,-370.000000
1.60000000,-370.000000
1.60833333,-369.000000
1.61666667,-369.000000
1.62500000,-376.000000
1.63333333,-368.000000
1.64166667,-369.000000
1.65000000,-370.000000
1.65833333,-377.000000
1.66666667,-376.000000
1.67500000,-369.000000
1.68333333,-368.000000
1.69166667,-376.000000
1.70000000,-377.000000
1.70833333,-369.000000
1.71666667,-369.000000
1.72500000,-370.000000
1.73333333,-369.000000
1.74166667,-370.000000
1.75000000,-369.000000
1.75833333,-376.000000
1.76666667,-377.000000
1.77500000,-377.000000
1.78333333,-377.000000
1.79166667,-379.000000
1.80000000,-371.000000
1.80833333,-370.000000
1.81666667,-377.000000
1.82500000,-376.000000
1.83333333,-368.000000
1.84166667,-370.000000
1.85000000,-371.000000
1.85833333,-370.000000
1.86666667,-371.000000
1.87500000,-370.000000
1.88333333,-370.000000
1.89166667,-370.000000
1.90000000,-371.000000
1.90833333,-371.000000
1.91666667,-370.000000
1.92500000,-377.000000
1.93333333,-379.000000
1.94166667,-379.000000
1.95000000,-377.000000
1.95833333,-377.000000
1.96666667,-377.000000
1.97500000,-377.000000
1.98333333,-376.000000
1.99166667,-376.000000
2.00000000,-377.000000
2.00833333,-377.000000
2.01666667,-377.000000
2.02500000,-377.000000
2.03333333,-377.000000
2.04166667,-377.000000
2.05000000,-377.000000
2.05833333,-377.000000
2.06666667,-384.000000
2.07500000,-384.000000
2.08333333,-377.000000
2.09166667,-376.000000
2.10000000,-378.000000
2.10833333,-377.000000
2.11666667,-372.000000
2.12500000,-371.000000
2.13333333,-379.000000
2.14166667,-377.000000
2.15000000,-378.000000
2.15833333,-370.000000
2.16666667,-371.000000
2.17500000,-368.000000
2.18333333,-370.000000
2.19166667,-370.000000
2.20000000,-370.000000
2.20833333,-370.000000
2.21666667,-370.000000
2.22500000,-370.000000
2.23333333,-370.000000
2.24166667,-370.000000
2.25000000,-370.000000
2.25833333,-369.000000
2.26666667,-370.000000
2.27500000,-371.000000
2.28333333,-377.000000
2.29166667,-377.000000
2.30000000,-378.000000
2.30833333,-369.000000
2.31666667,-368.000000
2.32500000,-371.000000
2.33333333,-370.000000
