min,Intensity
0.00000000,-324.000000
0.00833333,-394.000000
0.01666667,-395.000000
0.02500000,-394.000000
0.03333333,-394.000000
0.04166667,-394.000000
0.05000000,-393.000000
0.05833333,-395.000000
0.06666667,-393.000000
0.07500000,-393.000000
0.08333333,-394.000000
0.09166667,-394.000000
0.10000000,-394.000000
0.10833333,-394.000000
0.11666667,-395.000000
0.12500000,-394.000000
0.13333333,-395.000000
0.14166667,-394.000000
0.15000000,-394.000000
0.15833333,-395.000000
0.16666667,-395.000000
0.17500000,-395.000000
0.18333333,-395.000000
0.19166667,-395.000000
0.20000000,-394.000000
0.20833333,-393.000000
0.21666667,-393.000000
0.22500000,-394.000000
0.23333333,-394.000000
0.24166667,-395.000000
0.25000000,-395.000000
0.25833333,-396.000000
0.26666667,-395.000000
0.27500000,-439.000000
0.28333333,-438.000000
0.29166667,-439.000000
0.30000000,-437.000000
0.30833333,-438.000000
0.31666667,-438.000000
0.32500000,-439.000000
0.33333333,-439.000000
0.34166667,-439.000000
0.35000000,-439.000000
0.35833333,-439.000000
0.36666667,-441.000000
0.37500000,-439.000000
0.38333333,-396.000000
0.39166667,-395.000000
0.40000000,-394.000000
0.40833333,-396.000000
0.41666667,-397.000000
0.42500000,-395.000000
0.43333333,-395.000000
0.44166667,-395.000000
0.45000000,-439.000000
0.45833333,-437.000000
0.46666667,-438.000000
0.47500000,-439.000000
0.48333333,-396.000000
0.49166667,-395.000000
0.50000000,-396.000000
0.50833333,-395.000000
0.51666667,-395.000000
0.52500000,-395.000000
0.53333333,-395.000000
0.54166667,-395.000000
0.55000000,-394.000000
0.55833333,-395.000000
0.56666667,-395.000000
0.57500000,-394.000000
0.58333333,-395.000000
0.59166667,-394.000000
0.60000000,-395.000000
0.60833333,-394.000000
0.61666667,-394.000000
0.62500000,-441.000000
0.63333333,-437.000000
0.64166667,-438.000000
0.65000000,-437.000000
0.65833333,-437.000000
0.66666667,-394.000000
0.67500000,-393.000000
0.68333333,-393.000000
0.69166667,-393.000000
0.70000000,-394.000000
0.70833333,-394.000000
0.71666667,-395.000000
0.72500000,-395.000000
0.73333333,-393.000000
0.74166667,-438.000000
0.75000000,-394.000000
0.75833333,-394.000000
0.76666667,-439.000000
0.77500000,-438.000000
0.78333333,-438.000000
0.79166667,-441.000000
0.80000000,-439.000000
0.80833333,-439.000000
0.81666667,-445.000000
0.82500000,-447.000000
0.83333333,-445.000000
0.84166667,-438.000000
0.85000000,-439.000000
0.85833333,-394.000000
0.86666667,-393.000000
0.87500000,-395.000000
0.88333333,-396.000000
0.89166667,-438.000000
0.90000000,-438.000000
0.90833333,-438.000000
0.91666667,-437.000000
0.92500000,-438.000000
0.93333333,-438.000000
0.94166667,-437.000000
0.95000000,-437.000000
0.95833333,-436.000000
0.96666667,-439.000000
0.97500000,-438.000000
0.98333333,-438.000000
0.99166667,-438.000000
1.00000000,-437.000000
1.00833333,-438.000000
1.01666667,-438.000000
1.02500000,-436.000000
1.03333333,-438.000000
1.04166667,-393.000000
1.05000000,-392.000000
1.05833333,-393.000000
1.06666667,-393.000000
1.07500000,-393.000000
1.08333333,-393.000000
1.09166667,-394.000000
1.10000000,-393.000000
1.10833333,-393.000000
1.11666667,-393.000000
1.12500000,-393.000000
1.13333333,-393.000000
1.14166667,-439.000000
1.15000000,-437.000000
1.15833333,-437.000000
1.16666667,-395.000000
1.17500000,-395.000000
1.18333333,-394.000000
1.19166667,-395.000000
1.20000000,-395.000000
1.20833333,-395.000000
1.21666667,-394.000000
1.22500000,-396.000000
1.23333333,-394.000000
1.24166667,-437.000000
1.25000000,-439.000000
1.25833333,-394.000000
1.26666667,-394.000000
1.27500000,-393.000000
1.28333333,-406.000000
1.29166667,-437.000000
1.30000000,-395.000000
1.30833333,-394.000000
1.31666667,-434.000000
1.32500000,-438.000000
1.33333333,-438.000000
1.34166667,-438.000000
1.35000000,-438.000000
1.35833333,-395.000000
1.36666667,-438.000000
1.37500000,-438.000000
1.38333333,-439.000000
