min,Intensity
0.00000000,-349.000000
0.00833333,-357.000000
0.01666667,-357.000000
0.02500000,-357.000000
0.03333333,-356.000000
0.04166667,-349.000000
0.05000000,-349.000000
0.05833333,-358.000000
0.06666667,-358.000000
0.07500000,-348.000000
0.08333333,-350.000000
0.09166667,-350.000000
0.10000000,-350.000000
0.10833333,-351.000000
0.11666667,-349.000000
0.12500000,-351.000000
0.13333333,-350.000000
0.14166667,-351.000000
0.15000000,-351.000000
0.15833333,-350.000000
0.16666667,-351.000000
0.17500000,-351.000000
0.18333333,-351.000000
0.19166667,-352.000000
0.20000000,-356.000000
0.20833333,-358.000000
0.21666667,-357.000000
0.22500000,-358.000000
0.23333333,-357.000000
0.24166667,-357.000000
0.25000000,-357.000000
0.25833333,-357.000000
0.26666667,-358.000000
0.27500000,-358.000000
0.28333333,-356.000000
0.29166667,-358.000000
0.30000000,-357.000000
0.30833333,-356.000000
0.31666667,-357.000000
0.32500000,-358.000000
0.33333333,-357.000000
0.34166667,-357.000000
0.35000000,-358.000000
0.35833333,-358.000000
0.36666667,-358.000000
0.37500000,-357.000000
0.38333333,-357.000000
0.39166667,-357.000000
0.40000000,-359.000000
0.40833333,-358.000000
0.41666667,-356.000000
0.42500000,-357.000000
0.43333333,-357.000000
0.44166667,-356.000000
0.45000000,-359.000000
0.45833333,-357.000000
0.46666667,-358.000000
0.47500000,-359.000000
0.48333333,-350.000000
0.49166667,-358.000000
0.50000000,-357.000000
0.50833333,-357.000000
0.51666667,-357.000000
0.52500000,-357.000000
0.53333333,-357.000000
0.54166667,-359.000000
0.55000000,-358.000000
0.55833333,-357.000000
0.56666667,-356.000000
0.57500000,-357.000000
0.58333333,-350.000000
0.59166667,-349.000000
0.60000000,-350.000000
0.60833333,-349.000000
0.61666667,-349.000000
0.62500000,-349.000000
0.63333333,-350.000000
0.64166667,-350.000000
0.65000000,-357.000000
0.65833333,-356.000000
0.66666667,-356.000000
0.67500000,-356.000000
0.68333333,-357.000000
0.69166667,-357.000000
0.70000000,-357.000000
0.70833333,-358.000000
0.71666667,-357.000000
0.72500000,-356.000000
0.73333333,-357.000000
0.74166667,-356.000000
0.75000000,-355.000000
0.75833333,-355.000000
0.76666667,-346.000000
0.77500000,-348.000000
0.78333333,-348.000000
0.79166667,-348.000000
0.80000000,-349.000000
0.80833333,-349.000000
0.81666667,-348.000000
0.82500000,-348.000000
0.83333333,-347.000000
0.84166667,-348.000000
0.85000000,-355.000000
0.85833333,-356.000000
0.86666667,-356.000000
0.87500000,-358.000000
0.88333333,-357.000000
0.89166667,-356.000000
0.90000000,-357.000000
0.90833333,-356.000000
0.91666667,-357.000000
0.92500000,-357.000000
0.93333333,-357.000000
0.94166667,-357.000000
0.95000000,-357.000000
0.95833333,-356.000000
0.96666667,-356.000000
0.97500000,-357.000000
0.98333333,-355.000000
0.99166667,-355.000000
1.00000000,-357.000000
1.00833333,-357.000000
1.01666667,-357.000000
1.02500000,-357.000000
1.03333333,-357.000000
1.04166667,-357.000000
1.05000000,-357.000000
1.05833333,-358.000000
1.06666667,-358.000000
1.07500000,-359.000000
1.08333333,-357.000000
1.09166667,-358.000000
1.10000000,-358.000000
1.10833333,-357.000000
1.11666667,-357.000000
1.12500000,-358.000000
1.13333333,-358.000000
1.14166667,-357.000000
1.15000000,-358.000000
1.15833333,-358.000000
1.16666667,-358.000000
1.17500000,-358.000000
1.18333333,-357.000000
1.19166667,-358.000000
1.20000000,-358.000000
1.20833333,-358.000000
1.21666667,-349.000000
1.22500000,-357.000000
1.23333333,-359.000000
1.24166667,-358.000000
1.25000000,-358.000000
1.25833333,-358.000000
1.26666667,-358.000000
1.27500000,-358.000000
1.28333333,-358.000000
1.29166667,-357.000000
1.30000000,-357.000000
1.30833333,-357.000000
1.31666667,-357.000000
