min,Intensity
0.00000000,-6331.000000
0.00833333,-354.000000
0.01666667,-353.000000
0.02500000,-354.000000
0.03333333,-353.000000
0.04166667,-353.000000
0.05000000,-353.000000
0.05833333,-353.000000
0.06666667,-352.000000
0.07500000,-351.000000
0.08333333,-353.000000
0.09166667,-352.000000
0.10000000,-354.000000
0.10833333,-354.000000
0.11666667,-396.000000
0.12500000,-401.000000
0.13333333,-401.000000
0.14166667,-402.000000
0.15000000,-403.000000
0.15833333,-402.000000
0.16666667,-401.000000
0.17500000,-402.000000
0.18333333,-363.000000
0.19166667,-355.000000
0.20000000,-352.000000
0.20833333,-353.000000
0.21666667,-354.000000
0.22500000,-402.000000
0.23333333,-354.000000
0.24166667,-354.000000
0.25000000,-355.000000
0.25833333,-402.000000
0.26666667,-403.000000
0.27500000,-402.000000
0.28333333,-402.000000
0.29166667,-404.000000
0.30000000,-402.000000
0.30833333,-403.000000
0.31666667,-403.000000
0.32500000,-402.000000
0.33333333,-404.000000
0.34166667,-402.000000
0.35000000,-403.000000
0.35833333,-355.000000
0.36666667,-356.000000
0.37500000,-354.000000
0.38333333,-355.000000
0.39166667,-402.000000
0.40000000,-403.000000
0.40833333,-404.000000
0.41666667,-405.000000
0.42500000,-403.000000
0.43333333,-405.000000
0.44166667,-402.000000
0.45000000,-403.000000
0.45833333,-403.000000
0.46666667,-402.000000
0.47500000,-403.000000
0.48333333,-404.000000
0.49166667,-403.000000
0.50000000,-403.000000
0.50833333,-403.000000
0.51666667,-404.000000
0.52500000,-403.000000
0.53333333,-403.000000
0.54166667,-404.000000
0.55000000,-356.000000
0.55833333,-403.000000
0.56666667,-404.000000
0.57500000,-403.000000
0.58333333,-404.000000
0.59166667,-405.000000
0.60000000,-405.000000
0.60833333,-403.000000
0.61666667,-403.000000
0.62500000,-403.000000
0.63333333,-403.000000
0.64166667,-401.000000
0.65000000,-403.000000
0.65833333,-402.000000
0.66666667,-402.000000
0.67500000,-403.000000
0.68333333,-401.000000
0.69166667,-405.000000
0.70000000,-402.000000
0.70833333,-403.000000
0.71666667,-403.000000
0.72500000,-405.000000
0.73333333,-405.000000
0.74166667,-404.000000
0.75000000,-404.000000
0.75833333,-405.000000
0.76666667,-402.000000
0.77500000,-401.000000
0.78333333,-402.000000
0.79166667,-402.000000
0.80000000,-404.000000
0.80833333,-405.000000
0.81666667,-404.000000
0.82500000,-405.000000
0.83333333,-403.000000
0.84166667,-402.000000
0.85000000,-404.000000
0.85833333,-405.000000
0.86666667,-403.000000
0.87500000,-405.000000
0.88333333,-406.000000
0.89166667,-411.000000
0.90000000,-411.000000
0.90833333,-410.000000
0.91666667,-404.000000
0.92500000,-404.000000
0.93333333,-403.000000
0.94166667,-403.000000
0.95000000,-403.000000
0.95833333,-403.000000
0.96666667,-404.000000
0.97500000,-405.000000
0.98333333,-403.000000
0.99166667,-405.000000
1.00000000,-405.000000
1.00833333,-405.000000
1.01666667,-355.000000
1.02500000,-405.000000
1.03333333,-404.000000
1.04166667,-402.000000
1.05000000,-403.000000
1.05833333,-403.000000
1.06666667,-404.000000
1.07500000,-404.000000
1.08333333,-405.000000
1.09166667,-403.000000
1.10000000,-405.000000
1.10833333,-402.000000
1.11666667,-403.000000
1.12500000,-404.000000
1.13333333,-405.000000
1.14166667,-403.000000
1.15000000,-403.000000
1.15833333,-405.000000
1.16666667,-402.000000
1.17500000,-405.000000
1.18333333,-404.000000
1.19166667,-403.000000
1.20000000,-411.000000
1.20833333,-403.000000
1.21666667,-411.000000
1.22500000,-411.000000
1.23333333,-403.000000
1.24166667,-404.000000
1.25000000,-413.000000
1.25833333,-412.000000
1.26666667,-412.000000
1.27500000,-411.000000
1.28333333,-411.000000
1.29166667,-411.000000
1.30000000,-403.000000
1.30833333,-411.000000
1.31666667,-411.000000
1.32500000,-411.000000
1.33333333,-411.000000
1.34166667,-411.000000
1.35000000,-403.000000
1.35833333,-402.000000
1.36666667,-402.000000
1.37500000,-402.000000
1.38333333,-401.000000
1.39166667,-402.000000
1.40000000,-402.000000
1.40833333,-402.000000
1.41666667,-403.000000
1.42500000,-403.000000
1.43333333,-411.000000
1.44166667,-411.000000
1.45000000,-411.000000
1.45833333,-411.000000
1.46666667,-411.000000
1.47500000,-410.000000
1.48333333,-410.000000
1.49166667,-410.000000
1.50000000,-408.000000
1.50833333,-409.000000
1.51666667,-409.000000
1.52500000,-409.000000
1.53333333,-410.000000
1.54166667,-412.000000
1.55000000,-402.000000
1.55833333,-402.000000
1.56666667,-410.000000
1.57500000,-411.000000
1.58333333,-401.000000
1.59166667,-400.000000
1.60000000,-401.000000
1.60833333,-410.000000
1.61666667,-409.000000
1.62500000,-410.000000
1.63333333,-411.000000
1.64166667,-410.000000
1.65000000,-409.000000
1.65833333,-410.000000
1.66666667,-410.000000
1.67500000,-409.000000
1.68333333,-410.000000
1.69166667,-409.000000
1.70000000,-408.000000
1.70833333,-409.000000
1.71666667,-408.000000
1.72500000,-408.000000
1.73333333,-410.000000
1.74166667,-410.000000
1.75000000,-409.000000
1.75833333,-410.000000
1.76666667,-411.000000
1.77500000,-411.000000
1.78333333,-408.000000
1.79166667,-410.000000
1.80000000,-408.000000
1.80833333,-410.000000
1.81666667,-410.000000
1.82500000,-403.000000
1.83333333,-402.000000
1.84166667,-402.000000
1.85000000,-402.000000
1.85833333,-402.000000
1.86666667,-409.000000
1.87500000,-411.000000
1.88333333,-406.000000
1.89166667,-402.000000
1.90000000,-402.000000
1.90833333,-401.000000
1.91666667,-401.000000
1.92500000,-403.000000
1.93333333,-401.000000
1.94166667,-400.000000
1.95000000,-409.000000
1.95833333,-408.000000
1.96666667,-410.000000
1.97500000,-410.000000
1.98333333,-410.000000
1.99166667,-409.000000
2.00000000,-410.000000
2.00833333,-410.000000
2.01666667,-410.000000
2.02500000,-409.000000
2.03333333,-409.000000
2.04166667,-408.000000
2.05000000,-408.000000
2.05833333,-409.000000
2.06666667,-408.000000
2.07500000,-408.000000
2.08333333,-408.000000
2.09166667,-408.000000
2.10000000,-408.000000
2.10833333,-410.000000
2.11666667,-408.000000
2.12500000,-407.000000
2.13333333,-408.000000
2.14166667,-408.000000
2.15000000,-409.000000
2.15833333,-410.000000
2.16666667,-412.000000
2.17500000,-411.000000
2.18333333,-402.000000
2.19166667,-402.000000
2.20000000,-402.000000
2.20833333,-410.000000
2.21666667,-409.000000
2.22500000,-409.000000
2.23333333,-410.000000
2.24166667,-410.000000
2.25000000,-411.000000
2.25833333,-411.000000
2.26666667,-409.000000
2.27500000,-418.000000
2.28333333,-419.000000
2.29166667,-410.000000
2.30000000,-411.000000
2.30833333,-410.000000
2.31666667,-411.000000
2.32500000,-410.000000
2.33333333,-418.000000
2.34166667,-417.000000
2.35000000,-418.000000
2.35833333,-418.000000
2.36666667,-418.000000
2.37500000,-418.000000
2.38333333,-417.000000
2.39166667,-418.000000
2.40000000,-418.000000
2.40833333,-416.000000
2.41666667,-417.000000
2.42500000,-407.000000
2.43333333,-410.000000
2.44166667,-410.000000
2.45000000,-408.000000
2.45833333,-408.000000
2.46666667,-409.000000
2.47500000,-410.000000
2.48333333,-416.000000
2.49166667,-417.000000
2.50000000,-417.000000
2.50833333,-418.000000
2.51666667,-417.000000
2.52500000,-418.000000
2.53333333,-417.000000
2.54166667,-418.000000
2.55000000,-409.000000
2.55833333,-408.000000
2.56666667,-410.000000
2.57500000,-408.000000
2.58333333,-410.000000
2.59166667,-410.000000
2.60000000,-410.000000
2.60833333,-408.000000
2.61666667,-410.000000
2.62500000,-409.000000
2.63333333,-410.000000
2.64166667,-410.000000
2.65000000,-410.000000
2.65833333,-410.000000
2.66666667,-411.000000
2.67500000,-411.000000
2.68333333,-418.000000
2.69166667,-410.000000
2.70000000,-408.000000
2.70833333,-410.000000
2.71666667,-409.000000
2.72500000,-411.000000
2.73333333,-407.000000
2.74166667,-410.000000
2.75000000,-410.000000
2.75833333,-408.000000
2.76666667,-410.000000
2.77500000,-409.000000
2.78333333,-408.000000
2.79166667,-408.000000
2.80000000,-408.000000
2.80833333,-416.000000
2.81666667,-417.000000
2.82500000,-417.000000
2.83333333,-408.000000
2.84166667,-408.000000
2.85000000,-410.000000
2.85833333,-410.000000
2.86666667,-409.000000
2.87500000,-410.000000
2.88333333,-410.000000
2.89166667,-410.000000
2.90000000,-418.000000
2.90833333,-417.000000
2.91666667,-418.000000
2.92500000,-416.000000
2.93333333,-418.000000
2.94166667,-418.000000
2.95000000,-420.000000
2.95833333,-417.000000
2.96666667,-410.000000
2.97500000,-412.000000
2.98333333,-419.000000
2.99166667,-411.000000
3.00000000,-411.000000
3.00833333,-410.000000
3.01666667,-412.000000
3.02500000,-418.000000
3.03333333,-418.000000
3.04166667,-410.000000
3.05000000,-411.000000
3.05833333,-418.000000
3.06666667,-418.000000
3.07500000,-417.000000
3.08333333,-418.000000
3.09166667,-415.000000
3.10000000,-416.000000
3.10833333,-418.000000
3.11666667,-411.000000
3.12500000,-410.000000
3.13333333,-411.000000
3.14166667,-417.000000
3.15000000,-410.000000
3.15833333,-408.000000
3.16666667,-410.000000
3.17500000,-408.000000
3.18333333,-408.000000
3.19166667,-408.000000
3.20000000,-409.000000
3.20833333,-411.000000
3.21666667,-410.000000
3.22500000,-410.000000
3.23333333,-410.000000
3.24166667,-418.000000
3.25000000,-417.000000
3.25833333,-416.000000
3.26666667,-417.000000
3.27500000,-418.000000
3.28333333,-415.000000
3.29166667,-418.000000
3.30000000,-418.000000
3.30833333,-418.000000
3.31666667,-418.000000
3.32500000,-417.000000
3.33333333,-418.000000
3.34166667,-409.000000
3.35000000,-410.000000
3.35833333,-412.000000
3.36666667,-410.000000
3.37500000,-410.000000
3.38333333,-410.000000
3.39166667,-411.000000
3.40000000,-419.000000
3.40833333,-418.000000
3.41666667,-417.000000
3.42500000,-417.000000
3.43333333,-418.000000
3.44166667,-418.000000
3.45000000,-425.000000
3.45833333,-418.000000
3.46666667,-426.000000
3.47500000,-426.000000
3.48333333,-426.000000
3.49166667,-418.000000
3.50000000,-418.000000
3.50833333,-418.000000
3.51666667,-417.000000
3.52500000,-419.000000
3.53333333,-412.000000
3.54166667,-419.000000
3.55000000,-418.000000
3.55833333,-425.000000
3.56666667,-426.000000
3.57500000,-426.000000
3.58333333,-424.000000
3.59166667,-426.000000
3.60000000,-424.000000
3.60833333,-425.000000
3.61666667,-425.000000
3.62500000,-425.000000
3.63333333,-425.000000
3.64166667,-426.000000
3.65000000,-426.000000
3.65833333,-424.000000
3.66666667,-426.000000
3.67500000,-425.000000
3.68333333,-427.000000
3.69166667,-427.000000
3.70000000,-418.000000
3.70833333,-419.000000
3.71666667,-418.000000
3.72500000,-426.000000
3.73333333,-427.000000
3.74166667,-426.000000
3.75000000,-425.000000
3.75833333,-426.000000
3.76666667,-426.000000
3.77500000,-426.000000
3.78333333,-426.000000
3.79166667,-427.000000
3.80000000,-426.000000
3.80833333,-433.000000
3.81666667,-434.000000
3.82500000,-428.000000
3.83333333,-426.000000
3.84166667,-426.000000
3.85000000,-426.000000
3.85833333,-427.000000
3.86666667,-426.000000
3.87500000,-432.000000
3.88333333,-425.000000
3.89166667,-426.000000
3.90000000,-426.000000
3.90833333,-426.000000
3.91666667,-418.000000
3.92500000,-419.000000
3.93333333,-418.000000
3.94166667,-418.000000
3.95000000,-419.000000
3.95833333,-420.000000
3.96666667,-418.000000
3.97500000,-418.000000
3.98333333,-418.000000
3.99166667,-419.000000
4.00000000,-426.000000
4.00833333,-426.000000
4.01666667,-420.000000
4.02500000,-418.000000
4.03333333,-418.000000
4.04166667,-420.000000
4.05000000,-420.000000
4.05833333,-420.000000
4.06666667,-427.000000
4.07500000,-427.000000
4.08333333,-427.000000
4.09166667,-427.000000
4.10000000,-426.000000
4.10833333,-426.000000
4.11666667,-426.000000
4.12500000,-426.000000
4.13333333,-427.000000
4.14166667,-426.000000
4.15000000,-426.000000
4.15833333,-426.000000
4.16666667,-426.000000
4.17500000,-426.000000
4.18333333,-427.000000
4.19166667,-427.000000
4.20000000,-427.000000
4.20833333,-428.000000
4.21666667,-427.000000
4.22500000,-425.000000
4.23333333,-428.000000
4.24166667,-425.000000
4.25000000,-426.000000
4.25833333,-426.000000
4.26666667,-426.000000
4.27500000,-429.000000
4.28333333,-428.000000
4.29166667,-427.000000
4.30000000,-428.000000
4.30833333,-426.000000
4.31666667,-426.000000
4.32500000,-428.000000
4.33333333,-426.000000
4.34166667,-427.000000
4.35000000,-427.000000
4.35833333,-428.000000
4.36666667,-426.000000
4.37500000,-427.000000
4.38333333,-427.000000
4.39166667,-428.000000
4.40000000,-433.000000
4.40833333,-435.000000
4.41666667,-428.000000
4.42500000,-427.000000
4.43333333,-427.000000
4.44166667,-427.000000
4.45000000,-426.000000
4.45833333,-426.000000
4.46666667,-426.000000
4.47500000,-427.000000
4.48333333,-426.000000
4.49166667,-425.000000
4.50000000,-426.000000
4.50833333,-427.000000
4.51666667,-426.000000
4.52500000,-426.000000
4.53333333,-427.000000
4.54166667,-427.000000
4.55000000,-427.000000
4.55833333,-435.000000
4.56666667,-435.000000
4.57500000,-428.000000
4.58333333,-428.000000
4.59166667,-436.000000
4.60000000,-435.000000
4.60833333,-427.000000
4.61666667,-437.000000
4.62500000,-435.000000
4.63333333,-428.000000
4.64166667,-433.000000
4.65000000,-433.000000
4.65833333,-427.000000
4.66666667,-429.000000
4.67500000,-426.000000
4.68333333,-426.000000
4.69166667,-426.000000
4.70000000,-426.000000
4.70833333,-425.000000
4.71666667,-426.000000
4.72500000,-424.000000
4.73333333,-425.000000
4.74166667,-426.000000
4.75000000,-425.000000
4.75833333,-426.000000
4.76666667,-436.000000
4.77500000,-433.000000
4.78333333,-434.000000
4.79166667,-434.000000
4.80000000,-433.000000
4.80833333,-436.000000
4.81666667,-433.000000
4.82500000,-435.000000
4.83333333,-435.000000
4.84166667,-435.000000
4.85000000,-434.000000
4.85833333,-433.000000
4.86666667,-434.000000
4.87500000,-444.000000
4.88333333,-436.000000
4.89166667,-434.000000
4.90000000,-436.000000
4.90833333,-436.000000
4.91666667,-436.000000
4.92500000,-437.000000
4.93333333,-436.000000
4.94166667,-435.000000
4.95000000,-427.000000
4.95833333,-427.000000
4.96666667,-427.000000
4.97500000,-437.000000
4.98333333,-435.000000
4.99166667,-428.000000
5.00000000,-426.000000
5.00833333,-427.000000
5.01666667,-434.000000
5.02500000,-436.000000
5.03333333,-433.000000
5.04166667,-436.000000
5.05000000,-436.000000
5.05833333,-433.000000
5.06666667,-435.000000
5.07500000,-428.000000
5.08333333,-427.000000
5.09166667,-427.000000
5.10000000,-433.000000
5.10833333,-433.000000
5.11666667,-436.000000
5.12500000,-436.000000
5.13333333,-440.000000
5.14166667,-443.000000
5.15000000,-442.000000
5.15833333,-434.000000
5.16666667,-436.000000
5.17500000,-435.000000
5.18333333,-436.000000
5.19166667,-436.000000
5.20000000,-428.000000
5.20833333,-428.000000
5.21666667,-436.000000
5.22500000,-436.000000
5.23333333,-436.000000
5.24166667,-436.000000
5.25000000,-439.000000
5.25833333,-443.000000
5.26666667,-444.000000
5.27500000,-436.000000
5.28333333,-437.000000
5.29166667,-437.000000
5.30000000,-443.000000
5.30833333,-444.000000
5.31666667,-445.000000
5.32500000,-436.000000
5.33333333,-435.000000
5.34166667,-433.000000
5.35000000,-436.000000
5.35833333,-434.000000
5.36666667,-434.000000
5.37500000,-437.000000
5.38333333,-434.000000
5.39166667,-436.000000
5.40000000,-436.000000
5.40833333,-434.000000
5.41666667,-434.000000
5.42500000,-441.000000
5.43333333,-442.000000
5.44166667,-434.000000
5.45000000,-436.000000
5.45833333,-436.000000
5.46666667,-436.000000
5.47500000,-436.000000
5.48333333,-436.000000
5.49166667,-437.000000
5.50000000,-443.000000
5.50833333,-441.000000
5.51666667,-442.000000
5.52500000,-443.000000
5.53333333,-441.000000
5.54166667,-442.000000
5.55000000,-443.000000
5.55833333,-443.000000
5.56666667,-443.000000
5.57500000,-442.000000
5.58333333,-444.000000
5.59166667,-443.000000
5.60000000,-443.000000
5.60833333,-436.000000
5.61666667,-436.000000
5.62500000,-434.000000
5.63333333,-443.000000
5.64166667,-442.000000
5.65000000,-433.000000
5.65833333,-436.000000
5.66666667,-437.000000
5.67500000,-443.000000
5.68333333,-441.000000
5.69166667,-443.000000
5.70000000,-443.000000
5.70833333,-441.000000
5.71666667,-443.000000
5.72500000,-442.000000
5.73333333,-443.000000
5.74166667,-441.000000
5.75000000,-441.000000
5.75833333,-443.000000
5.76666667,-443.000000
5.77500000,-441.000000
5.78333333,-441.000000
5.79166667,-443.000000
5.80000000,-443.000000
5.80833333,-441.000000
5.81666667,-444.000000
5.82500000,-443.000000
5.83333333,-443.000000
5.84166667,-443.000000
5.85000000,-444.000000
5.85833333,-450.000000
5.86666667,-451.000000
5.87500000,-441.000000
5.88333333,-442.000000
5.89166667,-441.000000
5.90000000,-450.000000
5.90833333,-443.000000
5.91666667,-443.000000
5.92500000,-442.000000
5.93333333,-443.000000
5.94166667,-443.000000
5.95000000,-443.000000
5.95833333,-443.000000
5.96666667,-443.000000
5.97500000,-443.000000
5.98333333,-442.000000
5.99166667,-444.000000
6.00000000,-444.000000
6.00833333,-443.000000
6.01666667,-444.000000
6.02500000,-442.000000
6.03333333,-443.000000
6.04166667,-443.000000
6.05000000,-443.000000
6.05833333,-441.000000
6.06666667,-443.000000
6.07500000,-443.000000
6.08333333,-443.000000
6.09166667,-450.000000
6.10000000,-452.000000
6.10833333,-451.000000
6.11666667,-450.000000
6.12500000,-443.000000
6.13333333,-444.000000
6.14166667,-443.000000
6.15000000,-443.000000
6.15833333,-444.000000
6.16666667,-443.000000
6.17500000,-451.000000
6.18333333,-451.000000
6.19166667,-444.000000
6.20000000,-443.000000
6.20833333,-444.000000
6.21666667,-443.000000
6.22500000,-443.000000
6.23333333,-449.000000
6.24166667,-450.000000
6.25000000,-451.000000
6.25833333,-450.000000
6.26666667,-449.000000
6.27500000,-451.000000
6.28333333,-450.000000
6.29166667,-450.000000
6.30000000,-451.000000
6.30833333,-451.000000
6.31666667,-452.000000
6.32500000,-451.000000
6.33333333,-451.000000
6.34166667,-450.000000
6.35000000,-451.000000
6.35833333,-443.000000
6.36666667,-449.000000
6.37500000,-449.000000
6.38333333,-443.000000
6.39166667,-443.000000
6.40000000,-443.000000
6.40833333,-443.000000
6.41666667,-444.000000
6.42500000,-445.000000
6.43333333,-444.000000
6.44166667,-452.000000
6.45000000,-444.000000
6.45833333,-451.000000
6.46666667,-452.000000
6.47500000,-452.000000
6.48333333,-451.000000
6.49166667,-452.000000
6.50000000,-452.000000
6.50833333,-458.000000
6.51666667,-460.000000
6.52500000,-461.000000
6.53333333,-458.000000
6.54166667,-457.000000
6.55000000,-459.000000
6.55833333,-452.000000
6.56666667,-458.000000
6.57500000,-457.000000
6.58333333,-461.000000
6.59166667,-451.000000
6.60000000,-450.000000
6.60833333,-451.000000
6.61666667,-451.000000
6.62500000,-450.000000
6.63333333,-451.000000
6.64166667,-450.000000
6.65000000,-451.000000
6.65833333,-451.000000
6.66666667,-452.000000
6.67500000,-451.000000
6.68333333,-452.000000
6.69166667,-451.000000
6.70000000,-451.000000
6.70833333,-451.000000
6.71666667,-451.000000
6.72500000,-451.000000
6.73333333,-451.000000
