min,Intensity
0.00000000,-352.000000
0.00833333,-353.000000
0.01666667,-351.000000
0.02500000,-353.000000
0.03333333,-352.000000
0.04166667,-352.000000
0.05000000,-351.000000
0.05833333,-352.000000
0.06666667,-352.000000
0.07500000,-351.000000
0.08333333,-352.000000
0.09166667,-351.000000
0.10000000,-351.000000
0.10833333,-352.000000
0.11666667,-352.000000
0.12500000,-351.000000
0.13333333,-353.000000
0.14166667,-351.000000
0.15000000,-352.000000
0.15833333,-352.000000
0.16666667,-353.000000
0.17500000,-351.000000
0.18333333,-351.000000
0.19166667,-351.000000
0.20000000,-352.000000
0.20833333,-351.000000
0.21666667,-351.000000
0.22500000,-351.000000
0.23333333,-353.000000
0.24166667,-351.000000
0.25000000,-352.000000
0.25833333,-352.000000
0.26666667,-351.000000
0.27500000,-352.000000
0.28333333,-352.000000
0.29166667,-351.000000
0.30000000,-352.000000
0.30833333,-353.000000
0.31666667,-351.000000
0.32500000,-351.000000
0.33333333,-352.000000
0.34166667,-352.000000
0.35000000,-351.000000
0.35833333,-353.000000
0.36666667,-353.000000
0.37500000,-353.000000
0.38333333,-352.000000
0.39166667,-351.000000
0.40000000,-351.000000
0.40833333,-351.000000
0.41666667,-351.000000
0.42500000,-351.000000
0.43333333,-351.000000
0.44166667,-351.000000
0.45000000,-352.000000
0.45833333,-353.000000
0.46666667,-352.000000
0.47500000,-352.000000
0.48333333,-351.000000
0.49166667,-351.000000
0.50000000,-352.000000
0.50833333,-351.000000
0.51666667,-351.000000
0.52500000,-352.000000
0.53333333,-351.000000
0.54166667,-351.000000
0.55000000,-351.000000
0.55833333,-350.000000
0.56666667,-351.000000
0.57500000,-351.000000
0.58333333,-352.000000
0.59166667,-351.000000
0.60000000,-351.000000
0.60833333,-351.000000
0.61666667,-401.000000
0.62500000,-400.000000
0.63333333,-400.000000
0.64166667,-352.000000
0.65000000,-352.000000
0.65833333,-352.000000
0.66666667,-401.000000
0.67500000,-401.000000
0.68333333,-399.000000
0.69166667,-400.000000
0.70000000,-351.000000
0.70833333,-352.000000
0.71666667,-356.000000
0.72500000,-399.000000
0.73333333,-400.000000
0.74166667,-400.000000
0.75000000,-353.000000
0.75833333,-353.000000
0.76666667,-351.000000
0.77500000,-351.000000
0.78333333,-351.000000
0.79166667,-352.000000
0.80000000,-352.000000
0.80833333,-351.000000
0.81666667,-399.000000
0.82500000,-400.000000
0.83333333,-400.000000
0.84166667,-352.000000
0.85000000,-352.000000
0.85833333,-352.000000
0.86666667,-352.000000
0.87500000,-352.000000
0.88333333,-352.000000
0.89166667,-401.000000
0.90000000,-400.000000
0.90833333,-400.000000
0.91666667,-399.000000
0.92500000,-352.000000
0.93333333,-353.000000
0.94166667,-399.000000
0.95000000,-351.000000
