min,Intensity
1.99166667,-400.000000
2.00000000,-401.000000
2.00833333,-401.000000
2.01666667,-401.000000
2.02500000,-401.000000
2.03333333,-402.000000
2.04166667,-401.000000
2.05000000,-403.000000
2.05833333,-401.000000
2.06666667,-410.000000
2.07500000,-402.000000
2.08333333,-401.000000
2.09166667,-401.000000
2.10000000,-408.000000
2.10833333,-401.000000
2.11666667,-400.000000
2.12500000,-401.000000
2.13333333,-401.000000
2.14166667,-401.000000
2.15000000,-401.000000
2.15833333,-401.000000
2.16666667,-401.000000
2.17500000,-401.000000
2.18333333,-401.000000
2.19166667,-400.000000
2.20000000,-401.000000
2.20833333,-400.000000
2.21666667,-401.000000
2.22500000,-401.000000
2.23333333,-401.000000
2.24166667,-401.000000
2.25000000,-403.000000
2.25833333,-409.000000
2.26666667,-399.000000
2.27500000,-400.000000
2.28333333,-400.000000
2.29166667,-399.000000
2.30000000,-401.000000
2.30833333,-401.000000
2.31666667,-401.000000
2.32500000,-401.000000
2.33333333,-400.000000
2.34166667,-400.000000
2.35000000,-402.000000
2.35833333,-401.000000
2.36666667,-401.000000
2.37500000,-399.000000
2.38333333,-401.000000
2.39166667,-400.000000
2.40000000,-401.000000
2.40833333,-400.000000
2.41666667,-408.000000
2.42500000,-401.000000
2.43333333,-401.000000
2.44166667,-401.000000
2.45000000,-400.000000
2.45833333,-400.000000
2.46666667,-400.000000
2.47500000,-399.000000
2.48333333,-401.000000
2.49166667,-400.000000
2.50000000,-401.000000
2.50833333,-401.000000
2.51666667,-402.000000
2.52500000,-401.000000
2.53333333,-401.000000
2.54166667,-401.000000
2.55000000,-400.000000
2.55833333,-401.000000
2.56666667,-401.000000
2.57500000,-401.000000
2.58333333,-402.000000
2.59166667,-399.000000
2.60000000,-401.000000
2.60833333,-401.000000
2.61666667,-401.000000
2.62500000,-402.000000
2.63333333,-402.000000
2.64166667,-401.000000
2.65000000,-401.000000
2.65833333,-402.000000
2.66666667,-402.000000
2.67500000,-402.000000
2.68333333,-400.000000
2.69166667,-401.000000
2.70000000,-401.000000
2.70833333,-352.000000
2.71666667,-353.000000
2.72500000,-353.000000
2.73333333,-401.000000
2.74166667,-401.000000
2.75000000,-401.000000
2.75833333,-401.000000
2.76666667,-400.000000
2.77500000,-400.000000
2.78333333,-401.000000
2.79166667,-402.000000
2.80000000,-400.000000
2.80833333,-401.000000
2.81666667,-401.000000
2.82500000,-408.000000
2.83333333,-401.000000
2.84166667,-401.000000
2.85000000,-351.000000
2.85833333,-351.000000
2.86666667,-399.000000
2.87500000,-401.000000
2.88333333,-401.000000
2.89166667,-401.000000
2.90000000,-401.000000
2.90833333,-401.000000
2.91666667,-401.000000
2.92500000,-408.000000
2.93333333,-408.000000
2.94166667,-408.000000
2.95000000,-409.000000
2.95833333,-408.000000
2.96666667,-408.000000
2.97500000,-401.000000
2.98333333,-402.000000
2.99166667,-402.000000
3.00000000,-401.000000
3.00833333,-401.000000
3.01666667,-401.000000
3.02500000,-401.000000
3.03333333,-400.000000
3.04166667,-402.000000
3.05000000,-400.000000
3.05833333,-403.000000
3.06666667,-401.000000
3.07500000,-409.000000
3.08333333,-401.000000
3.09166667,-401.000000
3.10000000,-400.000000
3.10833333,-402.000000
3.11666667,-401.000000
3.12500000,-402.000000
3.13333333,-403.000000
3.14166667,-402.000000
3.15000000,-401.000000
3.15833333,-400.000000
3.16666667,-352.000000
3.17500000,-400.000000
3.18333333,-401.000000
3.19166667,-401.000000
3.20000000,-400.000000
3.20833333,-400.000000
3.21666667,-400.000000
3.22500000,-401.000000
3.23333333,-400.000000
3.24166667,-353.000000
3.25000000,-354.000000
3.25833333,-401.000000
